CON_IdConvocatoria;CON_FechaInicio;CON_FechaFin;CON_Tipo
2001;2024-01-31;2024-02-28;C
2002;2024-01-31;2024-02-28;C
2003;2024-02-02;2024-02-28;C
2004;2024-01-31;2024-02-28;C
2005;2024-02-02;2024-02-28;C
2006;2024-01-31;2024-02-28;C
2007;2024-01-31;2024-02-28;C
2008;2024-01-31;2024-02-28;C
2009;2024-01-31;2024-02-28;C
2010;2024-01-31;2024-02-28;C
2011;2024-01-31;2024-02-28;B
2012;2024-02-02;2024-02-28;B
2013;2024-01-31;2024-02-28;B
2014;2024-01-31;2024-02-28;B
2015;2024-01-31;2024-02-28;B
2016;2024-01-31;2024-02-28;B
2017;2024-02-02;2024-02-28;B
2018;2024-01-31;2024-02-28;B
2019;2024-01-31;2024-02-28;B
2020;2024-01-31;2024-02-28;B
2021;2024-02-02;2024-02-28;P
2022;2024-01-31;2024-02-28;P
2023;2024-02-02;2024-02-28;P
2024;2024-01-31;2024-02-28;P
2025;2024-01-31;2024-02-28;P
2026;2024-02-02;2024-02-28;P
2027;2024-01-31;2024-02-28;P
2028;2024-01-31;2024-02-28;P
2029;2024-02-02;2024-02-28;P
2030;2024-01-31;2024-02-29;P
