REU_IdReunion;REU_Objetivo;REU_Relatoria;REU_Fecha;REU_Modalidad
1;Planificación de Actividades Semestrales;Se definieron las actividades y responsables para el próximo semestre.;2024-01-15;VI
2;Evaluación del Programa de Apoyo Estudiantil;Se revisaron los resultados y se propusieron mejoras al programa.;2024-02-10;MIX
3;Organización de la Semana de la Salud;Se asignaron tareas para la organización del evento.;2024-03-05;PR
4;Capacitación en Atención Psicológica;Se llevá a cabo una capacitación para mejorar la atención a estudiantes.;2024-04-12;MIX
5;Revisión del Presupuesto Anual;Se discutieron las necesidades presupuestarias y se ajustaron partidas.;2024-05-20;PR
6;Coordinación con Servicios de Salud Locales;Se establecieron acuerdos de colaboración con centros de salud locales.;2024-06-18;VI
7;Encuesta de Satisfacción Estudiantil;Se analizaron los resultados de la encuesta y se plantearon acciones correctivas.;2024-07-08;VI
8;Plan de Emergencia y Evacuación;Se actualizá el plan de emergencia y se programaron simulacros.;2024-08-22;PR
9;Desarrollo de Programas de Inclusión;Se discutieron estrategias para fomentar la inclusión en el campus.;2024-09-14;PR
10;Evaluación de Actividades Recreativas;Se revisaron las actividades recreativas realizadas y se planificaron nuevas.;2024-10-30;MIX
